"V1","V2"
"discordia",-3.7318798052586
"pupillus",-3.3058543932374
"camerinus",-3.02140349092366
"salarium",-3.02140349092366
"senensis",-2.83374586756569
"residuum",-2.75667047469442
"defectus",-2.75667047469442
"damnosus",-2.75667047469442
"montagutus",-2.75667047469442
"contentus",-2.75667047469442
"thomasius",-2.75667047469442
"tedeschus",-2.75667047469442
"tutor",-2.75667047469442
"accantor",-2.75667047469442
"castrorum",-2.70288465555118
"occasio",-2.5667166765094
"processuus",-2.5667166765094
"recchus",-2.5667166765094
"albiza",-2.5667166765094
"marchia",-2.45233036291696
"iudex",-2.37696909395024
"vulterra",-2.37696909395024
"luzius",-2.37696909395024
"seravallis",-2.37696909395024
"x",-2.32391380286835
"andree",-2.25215958307089
"medium",-2.25215958307089
"damnum",-2.16479381455362
"notus",-2.01210718098018
"karolus",-2.00575568602508
"ridolfus",-2.00023729363896
"castelli",-2.00023729363896
"simo",-2.00023729363896
"montis",-2.00023729363896
"vicinus",-2.00023729363896
"malum",-2.00023729363896
"sacramentum",-2.00023729363896
"alexius",-2.00023729363896
"capitanis",-1.99110996344586
"salutator",-1.99110996344586
"civus",-1.99110996344586
"castellus",-1.99110996344586
"brancus",-1.99110996344586
"castellanis",-1.99110996344586
"sicilia",-1.99110996344586
"capannuccus",-1.99110996344586
"picture",-1.99110996344586
"pactus",-1.99110996344586
"litteris",-1.99110996344586
"totum",-1.99110996344586
"montaio",-1.99110996344586
"soprastallus",-1.99110996344586
"florentiolis",-1.99110996344586
"ubaldina",-1.99110996344586
"gratus",-1.99110996344586
"bartholomeo",-1.99110996344586
"monticulus",-1.99110996344586
"extimum",-1.99110996344586
"consilis",-1.99110996344586
"titulus",-1.99110996344586
"vannes",-1.99110996344586
"gangalandus",-1.99110996344586
"revocatio",-1.99110996344586
"pronte",-1.99110996344586
"faventia",-1.99110996344586
"monachus",-1.99110996344586
"collocatio",-1.99110996344586
"inconvenientia",-1.99110996344586
"siminettus",-1.99110996344586
"daniel",-1.99110996344586
"baldovinettus",-1.99110996344586
"relaxatio",-1.99110996344586
"m",-1.97305463976544
"xxxius",-1.97305463976544
"landus",-1.97305463976544
"eugubius",-1.97305463976544
"corradus",-1.97305463976544
"vittingher",-1.97305463976544
"mulinus",-1.97305463976544
"unacus",-1.97305463976544
"iudicium",-1.97305463976544
"conmotio",-1.97305463976544
"oppressor",-1.97305463976544
"castellanorum",-1.97305463976544
"guelfuccia",-1.97305463976544
"pericium",-1.97305463976544
"procium",-1.97305463976544
"percium",-1.97305463976544
"brunsvincensis",-1.97305463976544
"conia",-1.97305463976544
"onor",-1.97305463976544
"oppressio",-1.97305463976544
"conligator",-1.97305463976544
"pisanensis",-1.97305463976544
"lucanensis",-1.97305463976544
"partus",-1.97305463976544
"quarterus",-1.97305463976544
"octavianus",-1.97305463976544
"brunelleschus",-1.97305463976544
"assignatio",-1.97305463976544
"bracaccia",-1.97305463976544
"brevitas",-1.97305463976544
"obiectus",-1.97305463976544
"formo",-1.97305463976544
"er",-1.97305463976544
"petition",-1.97305463976544
"totium",-1.97305463976544
"aligud",-1.97305463976544
"sectus",-1.97305463976544
"hominium",-1.97305463976544
"niebulis",-1.97305463976544
"foltilicia",-1.97305463976544
"vicoratus",-1.97305463976544
"rudia",-1.97305463976544
"formia",-1.97305463976544
"firmitas",-1.97305463976544
"la",-1.97305463976544
"iusus",-1.97305463976544
"bindus",-1.97305463976544
"militia",-1.97305463976544
"guerrians",-1.97305463976544
"bagnesis",-1.97305463976544
"amerighus",-1.97305463976544
"barbarinensis",-1.97305463976544
"casola",-1.97305463976544
"riccha",-1.97305463976544
"percio",-1.97305463976544
"nizia",-1.97305463976544
"regimen",-1.97305463976544
"suspendo",-1.97305463976544
"fallus",-1.97305463976544
"dolus",-1.97305463976544
"seretus",-1.97305463976544
"citatus",-1.97305463976544
"petia",-1.97305463976544
"bugane",-1.97305463976544
"bugianus",-1.97305463976544
"iunium",-1.97305463976544
"vina",-1.97305463976544
"pubblicus",-1.97305463976544
"obliguus",-1.97305463976544
"amptio",-1.97305463976544
"racionerium",-1.97305463976544
"rancor",-1.97305463976544
"cotra",-1.97305463976544
"summptus",-1.97305463976544
"negatio",-1.97305463976544
"marta",-1.97305463976544
"thelogus",-1.97305463976544
"hostia",-1.97305463976544
"altare",-1.97305463976544
"xxviium",-1.97305463976544
"agrifolius",-1.97305463976544
"corpor",-1.97305463976544
"turchus",-1.97305463976544
"cerretanus",-1.97305463976544
"infor",-1.97305463976544
"sapient",-1.97305463976544
"potantia",-1.97305463976544
"magnatus",-1.97305463976544
"rogatio",-1.97305463976544
"deceptio",-1.97305463976544
"colligatia",-1.97305463976544
"viius",-1.97305463976544
"deputatus",-1.97305463976544
"prome",-1.97305463976544
"fidelis",-1.97305463976544
"cerditor",-1.97305463976544
"prosequitio",-1.97305463976544
"petito",-1.97305463976544
"duccinus",-1.97305463976544
"offerentum",-1.97305463976544
"vallus",-1.97305463976544
"barattarius",-1.97305463976544
"vecchiettus",-1.97305463976544
"notarium",-1.97305463976544
"captivus",-1.97305463976544
"simila",-1.97305463976544
"punctas",-1.97305463976544
"misus",-1.97305463976544
"rixa",-1.97305463976544
"fida",-1.97305463976544
"dubium",-1.97305463976544
"tempor",-1.97305463976544
"interum",-1.97305463976544
"mon",-1.97305463976544
"durachus",-1.97305463976544
"vestis",-1.97305463976544
"ianue",-1.97305463976544
"bernabonus",-1.97305463976544
"requisitor",-1.97305463976544
"testis",-1.97305463976544
"conmissio",-1.97305463976544
"reginalum",-1.97305463976544
"confidentia",-1.97305463976544
"tirlus",-1.97305463976544
"passionas",-1.97305463976544
"coadunator",-1.97305463976544
"frustatus",-1.97305463976544
"disciplina",-1.97305463976544
"venante",-1.97305463976544
"immensus",-1.97305463976544
"opizis",-1.97305463976544
"querelis",-1.97305463976544
"franciscor",-1.97305463976544
"magalottus",-1.97305463976544
"sepultura",-1.97305463976544
"rationarius",-1.97305463976544
"vexilliferum",-1.97305463976544
"intetnio",-1.97305463976544
"pontificem",-1.97305463976544
"venenum",-1.97305463976544
