"V1","V2"
"notus",-2.69315072456102
"x",-2.65617521141588
"castrorum",-2.61982037969987
"iudex",-2.53295850250428
"vulterra",-2.53295850250428
"luzius",-2.53295850250428
"seravallis",-2.53295850250428
"senensis",-2.49354329684208
"damnum",-2.36804764135725
"andree",-1.895190427106
"medium",-1.895190427106
"nebule",-1.85034701320223
"pisis",-1.47611983799377
"astorgius",-1.44951014137385
"iturus",-1.41418887800647
"ungaria",-1.39538736558331
"potestas",-1.27926061128564
"stipendiarium",-1.19205149461391
"solutio",-1.16274548413307
"regine",-1.16127856086594
"vicarius",-1.05803301571957
"iiium",-1.04444440434514
"emptio",-1.02542502068747
"questio",-0.886764430540969
"reformatio",-0.874763305782752
"angelus",-0.866695687089517
"operatio",-0.850965599742712
"avinion",-0.820453206039348
"transmissio",-0.764192520363901
"bursus",-0.764004910698492
"possessio",-0.756198139168838
"querela",-0.733231636316286
"gratia",-0.733048522553787
"pisa",-0.730665952232724
"executor",-0.729320573437689
"terminus",-0.710886324748127
"filius",-0.664761365289214
"salarius",-0.657880701204153
"frater",-0.654123282291207
"galeazus",-0.635185214324777
"pons",-0.629495769093389
"soldus",-0.612867605915708
"domus",-0.595154295103875
"sindicus",-0.582440847226661
"rainerius",-0.550161037359886
"xxx",-0.497471775143379
"devetus",-0.493870747388653
"arco",-0.492444015801198
"mercantia",-0.492255996801973
"expensa",-0.491932780199937
"districtus",-0.491932780199937
"notarius",-0.489637602065471
"reformator",-0.487711388358493
"rego",-0.485857697293822
"ianuam",-0.480693339246451
"oblatio",-0.4703263449711
"locus",-0.458183302276574
"cionettus",-0.44117394672619
"conclusio",-0.441045233597627
"florentia",-0.440950525280729
"scrutinium",-0.434230574303044
"captus",-0.433503008277471
"magnate",-0.42580713627595
"libra",-0.413327300895549
"comitatinus",-0.408689770263909
"fortificatio",-0.397070376909859
"porta",-0.390241732735367
"portus",-0.39015191276333
"factus",-0.389441003219217
"persona",-0.385315371068437
"romanus",-0.370339172840737
"conditio",-0.364706239883614
"medietas",-0.364646006491472
"summus",-0.360241522293514
"consors",-0.354817527995542
"culpa",-0.350275222414355
"ser",-0.344789110206716
"haucud",-0.341246608758921
"esculus",-0.336161631694597
"avillarius",-0.333549258627496
"mulium",-0.32576299382105
"fors",-0.323184318289218
"pistorium",-0.319441765930917
"ambaxiator",-0.317719518257509
"hospitium",-0.316508827465193
"turris",-0.310361393337861
"hungary",-0.308733453002701
"livellus",-0.308204881860121
"perusio",-0.305025563070861
"perusinus",-0.293856170738568
"florenus",-0.287713230693442
"regi",-0.281502004333326
"petrus",-0.270648094080554
"defensor",-0.269937448590139
"opus",-0.269228887698289
"pontificis",-0.267956647924137
"comitas",-0.267086655462242
"indemnitas",-0.264536967283168
"novus",-0.260978552647938
"pierus",-0.257435412660393
"lucas",-0.255307866823019
"camerarius",-0.252281507155958
"error",-0.252281507155958
"octo_guerre",-0.246390950139091
"brito",-0.243385234294824
"rector",-0.23873653312346
"comes",-0.238415954702033
"expensis",-0.238160046554077
"simil",-0.229490854406777
"stipendiarius",-0.226711257271497
"miniatus",-0.220704693070656
"honor",-0.216951250255925
"consilio",-0.213378265637675
"oculus",-0.212687337477812
"bonus",-0.21209824729775
"xxv",-0.211521665021022
"imperator",-0.208546133026955
"pistorius",-0.206463239188678
"castra",-0.182137157344175
"petitio",-0.176284598960221
"transitus",-0.173857798389602
"vulterranus",-0.173104229149275
"remedium",-0.171563151715212
"vallis",-0.168351114310445
"electio",-0.166663960766982
"sapientis",-0.166238005747038
"consultor",-0.166238005747038
"custodia",-0.163822733097157
"livellum",-0.162962177623357
"ius",-0.151299680812622
"rodulfus",-0.146326733692719
"sedecim",-0.141431480102896
"homo",-0.138734021687246
"palatium",-0.138686749771791
"devotio",-0.134979780300827
"conductor",-0.127974074420516
"victuale",-0.127474599960822
"effectus",-0.121188529354363
"partis",-0.117841784470104
"pistoriensis",-0.117680990273908
"baverie",-0.117680990273908
"famulus",-0.114099495259796
"diligentia",-0.110438774142951
"florentines",-0.0999138832427986
"leonardus",-0.0998199075205458
"populus",-0.0983087374293339
"provisio",-0.091998981876466
"regulator",-0.091577764568147
"mercator",-0.0914451016044124
"clericus",-0.0910084540297679
"montisagutus",-0.0888894712039706
"conductus",-0.0754023610967584
"respectus",-0.0691174548856771
"conservatio",-0.0643891413409705
"comitatus",-0.0629051338977773
"ragionerium",-0.0628907201875547
"iohannes",-0.0611298351200553
"arcis",-0.0591924389621731
