AgreedID,Speaker_id,MeetingID,faction,Chapter,faction1,office num 2,Speech_Len,Speech_Lem_basic,Speech_Lem_N,meet_type
10321,6895,1862,Lib,1376.1,0,2,203,ottonus dux bituricensis responsum debeo pecunia debitus communis remitto quantum respondo vel mitto pecunia iterum rescribo | littera hungary prout alis consultum ; vox vivus respondeo homo prudens proposus cito vado fiat primum | factum bonus comitis guidus bardus arcus montisfeltrarius fiat officium civis octus habeo balia bonus omnia alius communis reinvenio vendo ideo procedo provisio alis prout | factum comitis petrus monteaguto procedo emptio rebannimentum | factum pistorius habeo commisso ordinamentum scio quomodo ordino observo pistoia utilis ultra conventum gravo | habeo octo officialis guerra sollicito invo habeo honor communis | item placeo ordino pecunia mutuatus pridie a civis restituo materia civis alis subvenio | sollicito officium sedecim exigo punio tardus solutio | provideo circa familia palatium honor servicium habeo | provideo habeo pecunia necessitas communis sollicito sedecim,ottonus dux bituricensis responsum pecunia debitus pecunia | littera consultum vox homo fiat | factum comitis guidus bardus arcus montisfeltrarius fiat officium civis octus balia provisio | factum petrus monteaguto emptio rebannimentum | factum pistorius ordinamentum pistoia conventum | octo officialis honor | pecunia civis materia civis | officium sedecim tardus solutio | familia palatium honor servicium | pecunia necessitas sedecim,r
10322,3671,1862,NA,1376.1,0,1,153,factum octo scribo restitutio pecunia debeo forma oportunus | factum rex hungary respondeo cito vox vivus prout alis consultum supere gonfaloniere dico fiat informatio prout utilis offero paratus | factum pistioriensis ; expensus facte faciendo ius tango debeo commune pistorius nihilominus observo ordinamentum commisso subito provideo custodia | bonus emo a como guido sollicito officialis mons vendo alius provideo vendo habeo pecunia satisfacio | factum comitis petrus expedio prout alis provisus rebanio peto consilium reddeo prout bonus credo | sollicito sedecim cito exigo denarius debeo habeo sufficio provideo pecunia habeo modus habilis | provideo circa familia palatium bene servio suffico conduco tot sufficio,factum octo restitutio pecunia forma | factum rex vox consultum gonfaloniere informatio | factum pistioriensis ius pistorius ordinamentum custodia | bonus como guido officialis mons pecunia | factum petrus consilium | sedecim denarius pecunia modus | familia palatium,r
10323,6895,1863,Lib,1376.1,0,2,129,habo pecunia habeo regulator sedecim alis officus unde pecunia habeo sollicito exigo sufficio impono habeo tempus solvo stipendiarius ceterus | denarius officialis abundantia sufficientia dico scriptum mullium substino huc saltem mensis habeo pecunia solvo | factum pistorius habeo octo_balia provideo | eligo prus ambaxiator ungaria | provideo removo nicholaus nicholaus offitcus octus impono pecunia alius idoneus locus substituo | procuro que supradicte mutuo communis restituo pecunia mutuo | ereo offitium vendo bonus communis reinvenio | camerarius officium sedecim octus inpono pecunia,pecunia regulator sedecim officus pecunia tempus stipendiarius | denarius abundantia sufficientia mullium mensis pecunia | factum pistorius octo_balia | ambaxiator ungaria | nicholaus offitcus octus pecunia locus | pecunia | offitium bonus | camerarius officium sedecim octus pecunia,r
10324,1739,1863,Lib,1376.1,RI,1,72,procuro pecunia prout consultum gonfaloniere | fiat | pecunia officialis abundantia emo granum | mulius emo procedo provideo commune habeo bonus pars extraho territorium | pistoia gravo custodia solvo  portus | eligo ambaxatorium ungaria | substituo locus nicholaus nicholaus | camerarius prout consultum gonfaloniere | fiat provisio advendo bonus communis,pecunia consultum gonfaloniere | fiat | pecunia abundantia granum | mulius commune pars territorium | custodia  portus | ambaxatorium ungaria | locus nicholaus nicholaus | camerarius consultum gonfaloniere | fiat provisio bonus,r
10325,4110,1864,NA,1376.1,RI,2,53,factum pistorius mitto ambaxiator civis honestus pistoriensis confero custodia fortilicia portus ipsus civitas | postea consulo duodecim | ambaxiator electus eo ungaria nolio eo alius eligo | festus fiat solemnissus missa alius festus temporalis m fiat,factum pistorius ambaxiator civis custodia portus civitas | | ambaxiator ungaria | fiat missa m fiat,r
10326,3671,1864,NA,1376.1,0,1,106,ambaxiator cititer mitto ungaria ambaxiator electus nollo eo alius eligo bonus sufficio magnus apparatus | custodia casserus portus pistorius cogo solvo castellanus pistoia induco dulciter obtineo tunc consulo | novus bonus fiat missa solemnus fiat processus devotus | fiat habeo pecunia solvo stipendiarium primus exigo pecunia debite sollicito octus procuro pecunia moderate honeste alius modus habeo pecunia | sollicito octo_guerer pono repa anglicus equito noster terrenus comitatus conservo indemnus,ambaxiator ungaria ambaxiator bonus apparatus | custodia casserus portus pistorius castellanus pistoia | bonus fiat missa fiat processus | fiat pecunia stipendiarium pecunia octus pecunia modus pecunia | octo_guerer repa anglicus comitatus,r
10327,4110,1865,NA,1376.1,RI,2,95,expecto hodie ambaxiator pistoia mitto capitanis pistorium precipio xvus xxxius civis impedimentum landus eugubius ultra alius xvus tantum sto civitas florence satisfio salarius damnum alius modus habilis teneo | littera prefectus expecto ambaxiator romanus | littera galeazus satisfio eidus iiium florenus commune promitto corradus vittingher | littera octo dux bituricensis sollicito pecunia habeo habeo,ambaxiator capitanis pistorium xvus xxxius civis impedimentum landus eugubius xvus civitas florence salarius damnum modus | littera romanus | littera galeazus iiium florenus commune corradus vittingher | littera octo dux pecunia,r
10328,3671,1865,NA,1376.1,0,1,59,scribo pistorium mitto tres civis pars discedo solvo salarius expensis | littera romanus ambaxiator romanus octus respondeo | littera galeazus satisfio detraho stipendium corradus | littera octo scribo mitto residium ianue quantus debeo sollicito habeo pecunia,pistorium civis pars salarius | littera romanus ambaxiator romanus octus | littera galeazus stipendium | littera octo residium pecunia,r
10329,15136,1866,NA,1376.1,0,2,69,pax semper directio civitas florence propter mercantia inequalitas praestantia necessitia commune minus honorabilis pars communis peto petum pax nullus verbum pax moveo presens supersedeo videlicet autorabilis pax moveo tunc consulum provideo ideo sollicito octo inceptum viriliter prosequor,pax directio civitas florence mercantia inequalitas praestantia necessitia commune pars pax verbum pax pax consulum octo inceptum,r
10330,22420,1866,Lib,1376.1,AL,1,15,procedo prout gonfaloniere consultum sollicito pecunia undique considero inequalitas praestantia,gonfaloniere consultum pecunia inequalitas praestantia,r
